region,period,scen,rem
756,2060,SSP1,-18.89122441
756,2065,SSP1,-20.97993974
756,2070,SSP1,-23.09146769
756,2075,SSP1,-25.92864499
756,2080,SSP1,-27.79024224
756,2085,SSP1,-29.41288446
756,2090,SSP1,-31.22985562
756,2095,SSP1,-32.76215778
756,2100,SSP1,-33.63655828
152,2015,SSP1,NA
152,2020,SSP1,-0.970959599
152,2025,SSP1,-1.305305947
152,2030,SSP1,-1.716925256
152,2035,SSP1,-2.241882728
152,2040,SSP1,-2.848951923
152,2045,SSP1,-3.551280847
152,2050,SSP1,-4.397158435
152,2055,SSP1,-5.222627965
152,2060,SSP1,-6.05299427
152,2065,SSP1,-6.900051123
152,2070,SSP1,-7.955783712
152,2075,SSP1,-8.825924541
152,2080,SSP1,-9.623982485
152,2085,SSP1,-10.70909777
152,2090,SSP1,-11.35879144
152,2095,SSP1,-11.78960874
152,2100,SSP1,-12.81802551
156,2015,SSP1,NA
156,2020,SSP1,90.51026729
156,2025,SSP1,109.1944952
156,2030,SSP1,130.4549321
156,2035,SSP1,154.495639
156,2040,SSP1,183.7851727
156,2045,SSP1,214.9840645
156,2050,SSP1,245.8360869
156,2055,SSP1,279.6496129
156,2060,SSP1,312.2110222
156,2065,SSP1,345.2384942
156,2070,SSP1,376.7851962
156,2075,SSP1,411.054032
156,2080,SSP1,440.4135966
156,2085,SSP1,461.5903255
156,2090,SSP1,482.5227141
156,2095,SSP1,491.7374394
156,2100,SSP1,492.2131174
384,2015,SSP1,NA
384,2020,SSP1,0.364854875
384,2025,SSP1,0.45548723
384,2030,SSP1,0.618416463
384,2035,SSP1,0.864781463
384,2040,SSP1,1.227884941
384,2045,SSP1,1.744351224
384,2050,SSP1,2.404343631
384,2055,SSP1,3.225183109
384,2060,SSP1,4.338563247
384,2065,SSP1,5.539478944
384,2070,SSP1,6.768540746
384,2075,SSP1,8.477046365
384,2080,SSP1,9.634056427
384,2085,SSP1,10.46120751
384,2090,SSP1,12.13816507
384,2095,SSP1,13.37294545
384,2100,SSP1,14.53261795
120,2015,SSP1,NA
120,2020,SSP1,-2.716309065
120,2025,SSP1,-3.765708094
120,2030,SSP1,-5.63049962
120,2035,SSP1,-8.813077417
120,2040,SSP1,-13.57770215
120,2045,SSP1,-20.37074815
120,2050,SSP1,-29.45279424
120,2055,SSP1,-42.75399963
120,2060,SSP1,-57.93865691
120,2065,SSP1,-75.45765168
120,2070,SSP1,-102.0918218
120,2075,SSP1,-124.0421077
120,2080,SSP1,-145.0212926
120,2085,SSP1,-168.4646199
120,2090,SSP1,-211.3868911
120,2095,SSP1,-240.931224
120,2100,SSP1,-269.1022319
180,2015,SSP1,NA
180,2020,SSP1,0.004867268
180,2025,SSP1,0.005373869
180,2030,SSP1,-0.00162844
180,2035,SSP1,-0.019873288
180,2040,SSP1,-0.050985182
180,2045,SSP1,-0.097803412
180,2050,SSP1,-0.158165154
180,2055,SSP1,-0.262160701
180,2060,SSP1,-0.349732891
180,2065,SSP1,-0.40308447
180,2070,SSP1,-0.369477163
180,2075,SSP1,-0.527754152
180,2080,SSP1,-0.357360582
180,2085,SSP1,-0.224455697
180,2090,SSP1,-0.065185824
180,2095,SSP1,-0.127554101
180,2100,SSP1,0.313631441
178,2015,SSP1,NA
178,2020,SSP1,-0.356101783
178,2025,SSP1,-0.422400862
178,2030,SSP1,-0.538587921
178,2035,SSP1,-0.701961246
178,2040,SSP1,-0.895795566
178,2045,SSP1,-1.116637476
178,2050,SSP1,-1.353069358
178,2055,SSP1,-1.674761243
178,2060,SSP1,-1.936620034
178,2065,SSP1,-2.146422635
178,2070,SSP1,-2.237917433
178,2075,SSP1,-2.600682461
178,2080,SSP1,-2.444618094
178,2085,SSP1,-2.107763621
178,2090,SSP1,-1.893982627
178,2095,SSP1,-2.136466943
178,2100,SSP1,-1.909914409
170,2015,SSP1,NA
170,2020,SSP1,5.665681847
170,2025,SSP1,6.758167762
170,2030,SSP1,8.087641075
170,2035,SSP1,9.637607944
170,2040,SSP1,11.5539277
170,2045,SSP1,13.57804466
170,2050,SSP1,15.67850726
170,2055,SSP1,18.03735449
170,2060,SSP1,20.56853897
170,2065,SSP1,23.03613705
170,2070,SSP1,25.8793633
170,2075,SSP1,28.67402525
170,2080,SSP1,31.07954724
170,2085,SSP1,33.71913676
170,2090,SSP1,36.06919433
170,2095,SSP1,37.59808858
170,2100,SSP1,38.26216751
174,2015,SSP1,NA
174,2020,SSP1,0.235794246
174,2025,SSP1,0.257519212
174,2030,SSP1,0.29224222
174,2035,SSP1,0.332187296
174,2040,SSP1,0.379333327
174,2045,SSP1,0.438263966
174,2050,SSP1,0.492599273
174,2055,SSP1,0.549193564
174,2060,SSP1,0.617209334
174,2065,SSP1,0.681020534
174,2070,SSP1,0.760491506
174,2075,SSP1,0.830056385
174,2080,SSP1,0.893295803
174,2085,SSP1,0.975970692
174,2090,SSP1,1.029938604
174,2095,SSP1,0.983467739
174,2100,SSP1,0.970139737
132,2015,SSP1,NA
132,2020,SSP1,0.281166176
132,2025,SSP1,0.298808101
132,2030,SSP1,0.317479834
132,2035,SSP1,0.336126483
132,2040,SSP1,0.344918707
132,2045,SSP1,0.343546327
132,2050,SSP1,0.336070117
132,2055,SSP1,0.306696949
132,2060,SSP1,0.271027626
132,2065,SSP1,0.233884634
132,2070,SSP1,0.152507881
132,2075,SSP1,0.052800489
132,2080,SSP1,-0.050855012
132,2085,SSP1,-0.252592725
132,2090,SSP1,-0.459663035
132,2095,SSP1,-0.810600827
132,2100,SSP1,-1.073728449
188,2015,SSP1,NA
188,2020,SSP1,-0.605537481
188,2025,SSP1,-0.708566203
188,2030,SSP1,-0.865924007
188,2035,SSP1,-1.112676126
188,2040,SSP1,-1.407241118
188,2045,SSP1,-1.789638997
188,2050,SSP1,-2.224025856
188,2055,SSP1,-2.756838195
188,2060,SSP1,-3.225721208
